"before","after"
"Depuis les années 2000, l'étude de la structure et de la fonction des gènes, la génétique moléculaire, fait partie des sous-domaines les plus saillants de la biologie moléculaire.","depuis les années deux mille , l' étude de la structure et de la fonction des gènes , la génétique moléculaire , fait partie des sous -domaines les plus saillants de la biologie moléculaire . "
"== Techniques de biologie moléculaire ==Depuis la fin des années 1950 et le début des années 1960, les biologistes moléculaires ont appris à caractériser, isoler et manipuler les composants moléculaires des cellules et des organismes.","gale gale techniques de biologie moléculaire gale gale Depuis la fin des années dix-neuf cent cinquante et le début des années dix-neuf cent soixante , les biologistes moléculaires ont appris à caractériser , isoler et manipuler les composants moléculaires des cellules et des organismes . "
"Ces composants incluent l'ADN, support de l'information génétique, l'ARN, proche de l'ADN dont les fonctions vont de la copie provisoire d'ADN jusqu'aux réelles fonctions structurelles et enzymatiques et qui est une partie fonctionnelle et structurelle de l'appareil traductionnel, et les protéines, molécules structurelles et enzymatiques les plus importantes des cellules.","ces composants incluent l' A.D.N. , support de l' information génétique , l' A.R.N. , proche de l' A.D.N. dont les fonctions vont de la copie provisoire d' A.D.N. jusqu' aux réelles fonctions structurelles et enzymatiques et qui est une partie fonctionnelle et structurelle de l' appareil traductionnel , et les protéines , molécules structurelles et enzymatiques les plus importantes des cellules . "
"Dans les deux cas, le codage ADN pour la protéine qui nous intéresse est maintenant à l'intérieur d'une cellule, et la protéine peut maintenant s'exprimer.","dans les deux cas , le codage A.D.N. pour la protéine qui nous intéresse est maintenant à l' intérieur d' une cellule , et la protéine peut maintenant s' exprimer . "
"De grandes quantités de protéines peuvent alors être extraites de la cellule bactérienne ou eucaryote.","de grandes quantités de protéines peuvent alors être extraites de la cellule bactérienne ou eucaryote . "
"La protéine peut être testée pour connaître son activité enzymatique dans une variété de situations, elle peut être cristallisée pour qu'on puisse étudier sa structure tertiaire, ou, dans l'industrie pharmaceutique, on peut étudier l'activité de nouveaux médicaments sur la protéine en question.","la protéine peut être testée pour connaître son activité enzymatique dans une variété de situations , elle peut être cristallisée pour qu' on puisse étudier sa structure tertiaire , ou , dans l' industrie pharmaceutique , on peut étudier l' activité de nouveaux médicaments sur la protéine en question . "
"Par exemple, la PCR peut être utilisée pour introduire des sites d'enzymes de restriction, ou pour muter (changer) des bases particulières de l'ADN.","par exemple , la P.C.R. peut être utilisée pour introduire des sites d' enzymes de restriction , ou pour muter changer des bases particulières de l' A.D.N. . "
"La PCR peut aussi être utilisée pour déterminer si un fragment particulier d'ADN se trouve dans une bibliothèque d'ADN complémentaires.","la P.C.R. peut aussi être utilisée pour déterminer si un fragment particulier d' A.D.N. se trouve dans une bibliothèque d' A.D.N. complémentaires . "
"=== Électrophorèse ===L'électrophorèse est un des principaux outils de biologie moléculaire.","gale gale gale électrophorèse gale gale gale L.' électrophorèse est un des principaux outils de biologie moléculaire . "
"Le principe de base est que l'ADN, l'ARN et les protéines peuvent être séparées par des champs électriques.","le principe de base est que l' A.D.N. , l' A.R.N. et les protéines peuvent être séparées par des champs électriques . "
"Les protéines peuvent aussi être séparées par leur charge électrique, en utilisant ce qu'on appelle un gel isoélectrique.","les protéines peuvent aussi être séparées par leur charge électrique , en utilisant ce qu' on appelle un gel isoélectrique . "
"Des échantillons d'ADN avant ou après digestion par une enzyme de restriction sont séparés par électrophorèse et transférés sur une membrane par marquage via action capillaire.","des échantillons d' A.D.N. avant ou après digestion par une enzyme de restriction sont séparés par électrophorèse et transférés sur une membrane par marquage via action capillaire . "
"La membrane peut alors être testée en utilisant une sonde ADN marquée avec un complément de la séquence en question.","la membrane peut alors être testée en utilisant une sonde A.D.N. marquée avec un complément de la séquence en question . "
"Le Southern blot est utilisé moins souvent dans les laboratoires, du fait que la PCR permet déjà de détecter des séquences ADN spécifiques à partir d'échantillons d'ADN.","le Southern blot est utilisé moins souvent dans les laboratoires , du fait que la P.C.R. permet déjà de détecter des séquences A.D.N. spécifiques à partir d' échantillons d' A.D.N. . "
"=== Northern blot ===Le northern blot est utilisé pour étudier les modèles d'expression d'un type spécifique de molécule d'ARN en comparaison relative avec un ensemble de différents échantillons d'ARN.","gale gale gale Northern blot gale gale gale Le northern blot est utilisé pour étudier les modèles d' expression d' un type spécifique de molécule d' A.R.N. en comparaison relative avec un ensemble de différents échantillons d' A.R.N. . "
"Dans ce processus, l'ARN est séparé en fonction de la taille, puis est transféré sur une membrane qui est alors sondée avec un complément marqué pour la séquence intéressante.","dans ce processus , l' A.R.N. est séparé en fonction de la taille , puis est transféré sur une membrane qui est alors sondée avec un complément marqué pour la séquence intéressante . "
"Les résultats peuvent être visualisés d'une variété de façons selon le marquage utilisé ; cependant, la plupart conduisent à une révélation de bandes représentant la taille de l'ARN détecté dans l'échantillon.","les résultats peuvent être visualisés d' une variété de façons selon le marquage utilisé , cependant , la plupart conduisent à une révélation de bandes représentant la taille de l' A.R.N. détecté dans l' échantillon . "
"L'intensité de ces bandes est liée à la quantité d'ARN ciblé dans les échantillons analysés.","l' intensité de ces bandes est liée à la quantité d' A.R.N. ciblé dans les échantillons analysés. "
"Le procédé est utilisé généralement pour étudier quand et combien d'expressions de gènes se produisent en mesurant la quantité de cet ARN présent dans les différents échantillons.","le procédé est utilisé généralement pour étudier quand et combien d' expressions de gènes se produisent en mesurant la quantité de cet A.R.N. présent dans les différents échantillons . "
"C'est un des outils les plus fondamentaux pour déterminer quand certains gènes s'expriment dans les tissus vivants.","c' est un des outils les plus fondamentaux pour déterminer quand certains gènes s' expriment dans les tissus vivants . "
"Les anticorps pour la plupart des protéines peuvent être créés par injection de petites quantités de protéine cible dans les animaux tels que la souris, le lapin, le mouton ou l'âne (anticorps polyclonaux) ou produits dans une culture de cellules (anticorps monoclonaux).","les anticorps pour la plupart des protéines peuvent être créés par injection de petites quantités de protéine cible dans les animaux tels que la souris , le lapin , le mouton ou l' âne anticorps polyclonaux ou produits dans une culture de cellules anticorps monoclonaux . "
"Ces anticorps peuvent être utilisés dans une variété de techniques analytiques et préparatives.","ces anticorps peuvent être utilisés dans une variété de techniques analytiques et préparatives . "
"Les protéines dans le gel sont alors transférées sur un PVDF, nitrocellulose, nylon ou autre membrane de support.","les protéines dans le gel sont alors transférées sur un P.V.D.F. , nitrocellulose , nylon ou autre membrane de support . "
"Cette membrane peut alors être sondée avec des solutions d'anticorps.","cette membrane peut alors être sondée avec des solutions d' anticorps . "
"Les puces peuvent aussi être fabriquées pour des molécules autres que l'ADN.","les puces peuvent aussi être fabriquées pour des molécules autres que l' A.D.N. . "
"Par exemple, une puce à anticorps peut être utilisée pour déterminer quelle protéine ou bactérie est présente dans un échantillon de sang.","par exemple , une puce à anticorps peut être utilisée pour déterminer quelle protéine ou bactérie est présente dans un échantillon de sang . "
"Indépendamment de leur intérêt historique, il est intéressant de connaître les anciennes techniques car cela peut être utile pour résoudre des problèmes particuliers.","indépendamment de leur intérêt historique , il est intéressant de connaître les anciennes techniques car cela peut être utile pour résoudre des problèmes particuliers . "
"La Belgique couvre une superficie de avec une population de plus de onze millions d'habitants.","la Belgique couvre une superficie de avec une population de plus de onze millions d' habitants . "
"De plus, il y a également un petit groupe de germanophones, officiellement reconnu.","de plus , il y a également un petit groupe de germanophones , officiellement reconnu . "
"La Région de Bruxelles-Capitale, officiellement bilingue, est une enclave majoritairement francophone dans la Région flamande.","la Région de Bruxelles-Capitale , officiellement bilingue , est une enclave majoritairement francophone dans la Région flamande . "
"La diversité linguistique de la Belgique et ses conflits politiques connexes sont reflétés dans son histoire politique et son système de gouvernement complexe.","la diversité linguistique de la Belgique et ses conflits politiques connexes sont reflétés dans son histoire politique et son système de gouvernement complexe . "
"La région était appelée ""Belgica ""en latin, d'après la province romaine de ""Gallia Belgica"", qui couvrait plus ou moins la même superficie.","la région était appelée "" Belgica "" en latin , d' après la province romaine de "" Gallia Belgica "" , qui couvrait plus ou moins la même superficie . "
"De la fin du Moyen Âge jusqu'au , le territoire correspondant à l'actuelle Belgique était un centre commercial et culturel prospère et cosmopolite.","de la fin du Moyen Âge jusqu' au , le territoire correspondant à l' actuelle Belgique était un centre commercial et culturel prospère et cosmopolite . "
"Depuis son indépendance, la Belgique participa à la Révolution industrielleet, durant le cours du , elle posséda plusieurs colonies en Afrique.","depuis son indépendance , la Belgique participa à la Révolution industrielleet , durant le cours du , elle posséda plusieurs colonies en Afrique . "
"La deuxième moitié du a été marquée par des tensions entre les Flamands et les Wallons en raison des différences de langues et du développement économique inégal des deux régions.","la deuxième moitié du a été marquée par des tensions entre les flamands et les Wallons en raison des différences de langues et du développement économique inégal des deux régions . "
"Ce conflit a mené à plusieurs réformes de grande envergure, dont une transition d'un État unitaire à un État fédéral.","ce conflit a mené à plusieurs réformes de grande envergure , dont une transition d' un État unitaire à un État fédéral . "
"Les trois langues officielles sont le néerlandais, le français et l’allemand.","les trois langues officielles sont le néerlandais , le français et l' allemand . "
"Auparavant, la Belgique a signé le traité de Bruxelles en 1948 et le OTAN le .","auparavant , la Belgique a signé le traité de Bruxelles en mille neuf cent quarante-huit et le OTAN le . "
"La Belgique a trois langues officielles : l'allemand, le français et le néerlandais.","la Belgique a trois langues officielles l' allemand , le français et le néerlandais . "
"Les méta-symboles sont tout simplement les symboles de BNF.","les méta -symboles sont tout simplement les symboles de B.N.F. . "
"Le Bas-Rhin ( ) est un département français de la région Alsace.","le Bas-Rhin est un département français de la région Alsace . "
"La préfecture ainsi que le conseil général sont basés à Strasbourg.","la préfecture ainsi que le conseil général sont basés à Strasbourg . "
"L'Insee et la Poste lui attribuent le code 67.","l' Insee et la Poste lui attribuent le code soixante-sept . "
"== Dénomination ==Il s'agit du dernier département français à avoir conservé le terme « bas » dans son nom.","gale gale Dénomination gale gale Il s' agit du dernier département français à avoir conservé le terme bas dans son nom . "
"Exemples : les Basses-Pyrénées devenues en 1969 les Pyrénées-Atlantiques ou les Basses-Alpes, devenues en 1970 le département des Alpes-de-Haute-Provence.","exemples les Basses-Pyrénées devenues en dix-neuf cent soixante-neuf les Pyrénées-Atlantiques ou les Basses-Alpes , devenues en dix-neuf cent soixante-dix le département des Alpes-de-Haute-Provence . "
"Le même phénomène a été observé pour les départements « inférieurs » (Charente-Inférieure, Seine-Inférieure ou Loire-Inférieure).","le même phénomène a été observé pour les départements inférieurs Charente-Inférieure , Seine-Inférieure ou Loire-Inférieure . "
"Cependant, il reste la ""région"" de Basse-Normandie.","cependant , il reste la "" région "" de Basse-Normandie . "
"Le , l'Assemblée nationale constituante décréta : « — Que l'Alsace sera divisée en deux départements dont Strasbourg et Colmar serles chefs-lieux ; — Que le département de Strasbourg sera subdivisé en trois districts [… ; — Que les terres des princes allemands, possédées en souveraineté par la France, seront comprises dans la division des districts ; — Que Landau, enclavé dans le Palatinat, aura une justice particulière […] ».","le , l' Assemblée nationale constituante décréta Que l' Alsace sera divisée en deux départements dont Strasbourg et Colmar serles chefs-lieux , Que le département de Strasbourg sera subdivisé en trois districts , Que les terres des princes allemands , possédées en souveraineté par la France , seront comprises dans la division des districts , Que Landau , enclavé dans le Palatinat , aura une justice particulière . "
"* en 1871, il fut annexé par l'Allemagne (par le traité de Francfort) et devint alors le ""Bezirk Unterelsass"" au sein du ""Reichsland Elsaß-Lothringen"" ;* en 1919, il redevint français (traité de Versailles) et garda les territoires que l'Allemagne avait pris au département des Vosges en 1871 (canton de Schirmeck et canton de Saales).","en mille huit cent soixante et onze , il fut annexé par l' Allemagne par le traité de Francfort et devint alors le "" Bezirk Unterelsass "" au sein du "" Reichsland Elsass-Lothringen "" , en dix-neuf cent dix-neuf , il redevint français traité de Versailles et garda les territoires que l' Allemagne avait pris au département des Vosges en dix-huit cent soixante et onze canton de Schirmeck et canton de Saales . "
"=== Les résidences secondaires ===Selon le recensement général de la population du janvier 2008, 2,3 % des logements disponibles dans le département étaient des résidences secondaires.","gale gale gale les résidences secondaires gale gale gale Selon le recensement général de la population du janvier deux mille huit , deux , trois pour cents des logements disponibles dans le département étaient des résidences secondaires . "
"Depuis la fusion des trois facultés et des IUT d’Illkirch et de Schiltigheim, c’est même devenue l’une des plus grandes universités de France.","depuis la fusion des trois facultés et des I.U.T. d' Illkirch et de Schiltigheim , c' est même devenue l' une des plus grandes universités de France . "
"On trouve par ailleurs des établissements de grande renommée tels que l'École nationale d'administration (ENA), l'Institut national des études territoriales (INET), l’Institut supérieur européen de gestion ou encore l'école nationale supérieure de physique de Strasbourg.","on trouve par ailleurs des établissements de grande renommée tels que l' École nationale d' administration E.N.A. , l' Institut national des études territoriales INET , l' Institut supérieur européen de gestion ou encore l' école nationale supérieure de physique de Strasbourg . "
"Le château du Haut-Koenigsbourg : construit au , il domine la plaine d’Alsace à plus de d’altitude.","le château du Haut-Koenigsbourg construit au , il domine la plaine d' Alsace à plus de d' altitude . "
"Détruit lors de la Guerre de Trente Ans, il est restauré de 1900 à 1908 par l’empereur allemand Guillaume II.","Détruit lors de la Guerre de Trente Ans , il est restauré de mille neuf cents à dix-neuf cent huit par l' empereur allemand Guillaume the 2T.H. . "
"Le château du Fleckenstein : du début du , érigé par la famille impériale des Hohenstaufen, ce château fort fut habité et transformé en forteresse imprenable par les Fleckenstein.","le château du Fleckenstein du début du , érigé par la famille impériale des Hohenstaufen , ce château fort fut habité et transformé en forteresse imprenable par les Fleckenstein . "
"Il s’agit d’un immense parcours de vingt jeux à travers la forêt et dans les pièces secrètes du château afin de découvrir la vie au Moyen Âge.","il s' agit d' un immense parcours de vingt jeux à travers la forêt et dans les pièces secrètes du château afin de découvrir la vie au Moyen Âge . "
"Avec plus de vingt-sept millions de touristes, le Bas-Rhin est le cinquième département français en nombre de nuitées.","avec plus de vingt-sept millions de touristes , le Bas-Rhin est le cinquième département français en nombre de nuitées . "
"Mesurant de haut, du parvis au sommet du clocher, elle est considérée comme la deuxième plus grande cathédrale de France, après celle de Rouen.","mesurant de haut , du parvis au sommet du clocher , elle est considérée comme la deuxième plus grande cathédrale de France , après celle de Rouen . "
"Son horloge astronomique d’époque Renaissance et dont le mécanisme date de 1482 est un chef-d’œuvre en soi.","son horloge astronomique d' époque Renaissance et dont le mécanisme date de mille quatre cent quatre-vingt-deux est un chef-d'oeuvre en soi . "
"* Le Mont Sainte-Odile, haut lieu spirituel toujours vivant.","le Mont Sainte-Odile , haut lieu spirituel toujours vivant . "
"Il est un site touristique et lieu de pèlerinage apprécié.","il est un site touristique et lieu de pèlerinage apprécié. "
"=== Musées ===; Musées de StrasbourgLe Musée alsacien : musée d’art et traditions populaires.","gale gale gale musées gale gale gale , Musées de StrasbourgLe Musée alsacien musée d' art et traditions populaires . "
"Le Musée Tomi Ungerer : on peut y découvrir une importante collection de dessins, archives, jouets et revues donnés à sa ville natale par le dessinateur français Tomi Ungerer.","le Musée Tomi Ungerer on peut y découvrir une importante collection de dessins , archives , jouets et revues donnés à sa ville natale par le dessinateur français Tomi Ungerer . "
"Il accueille également des expositions temporaires.","il accueille également des expositions temporaires . "
"Le Musée du palais du Rohan : le Palais du Rohan fut construit entre 1731 et 1742 à la demande d’Armand de Rohan-Soubise, Cardinal et Évêque de Strasbourg qui en fit sa résidence principale au cœur historique de la ville.","le Musée du palais du Rohan le Palais du Rohan fut construit entre mille sept cent trente et un et dix-sept cent quarante-deux à la demande d' Armand de Rohan-Soubise , Cardinal et Évêque de Strasbourg qui en fit sa résidence principale au coeur historique de la ville . "
"Il accueille entre autres le Musée des arts décoratifs, Musée d'archéologie ainsi que le Musée des beaux-arts.","il accueille entre autres le Musée des arts décoratifs , Musée d' archéologie ainsi que le Musée des beaux-arts . "
"Autrefois disparue, elle est désormais protégée et fait partie intégrante du paysage.","autrefois disparue , elle est désormais protégée et fait partie intégrante du paysage . "
"Même s'il reste composé le plus souvent d’une coiffe noire et d’une jupe rouge, symboles de l’Alsace, il existe une multitude d’autres tenues qui varient selon les villages mais aussi selon le statut social de la personne.","Même s' il reste composé le plus souvent d' une coiffe noire et d' une jupe rouge , symboles de l' Alsace , il existe une multitude d' autres tenues qui varient selon les villages mais aussi selon le statut social de la personne . "
"Aujourd’hui pratiquement disparu, on peut encore le voir dans certains villages lors de diverses manifestations et grâce aux groupes folkloriques.","Aujourd'hui pratiquement disparu , on peut encore le voir dans certains villages lors de diverses manifestations et grâce aux groupes folkloriques . "
"Le département des Bouches-du-Rhône est un département français de la région Provence-Alpes-Côte d'Azur.","le département des Bouches-du-Rhône est un département français de la région Provence-Alpes-Côte d' Azur . "
"Ses habitants sont les Bucco-Rhodaniens.","ses habitants sont les Bucco-Rhodaniens . "
"== Géographie ==Les Bouches-du-Rhône font partie de la région Provence-Alpes-Côte d'Azur et sont frontalières des départements du Gard, de Vaucluse et du Var.","gale gale Géographie gale gale Les Bouches-du-Rhône font partie de la région Provence-Alpes-Côte d' Azur et sont frontalières des départements du Gard , de Vaucluse et du Var . "
"Le département est délimité par le Rhône à l'ouest et la Durance au nord.","le département est délimité par le Rhône à l' ouest et la Durance au nord . "
"Dès la fin du , le courant socialiste gagne en influence, comme en témoigne, en 1881, l'élection du premier député socialiste de France, Clovis Hugues.","Dès la fin du , le courant socialiste gagne en influence , comme en témoigne , en mille huit cent quatre-vingt-un , l' élection du premier député socialiste de France , Clovis Hugues . "
"L’entre-deux-guerres et l'époque du Front populaire marquent le début de la prédominance de la gauche dans le département, d'abord avec la SFIO puis également le PCF à compter de 1936.","l' entre -deux -guerres et l' époque du Front populaire marquent le début de la prédominance de la gauche dans le département , d' abord avec la SFIO puis également le P.C.F. à compter de mille neuf cent trente-six . "
"Après la Seconde Guerre mondiale, la droite marseillaise, liée à la pègre et ayant versé dans la Collaboration, est largement discréditée.","après la Seconde Guerre mondiale , la droite marseillaise , liée à la pègre et ayant versé dans la Collaboration , est largement discréditée. "
"La gauche domine très largement à la Libération et Marseille voit même l'élection, en 1945, d'un maire communiste, Jean Cristofol.","la gauche domine très largement à la Libération et Marseille voit même l' élection , en dix-neuf cent quarante-cinq , d' un maire communiste , Jean Cristofol . "
"Les années 1990 voient la progression du Front national, avec notamment sa victoire aux élections municipales de Vitrolles et Marignane.","les années mille neuf cent quatre-vingt-dix voient la progression du Front national , avec notamment sa victoire aux élections municipales de Vitrolles et Marignane . "
"Le Brésil (dans sa forme longue République fédérative du Brésil) est le plus grand État d’Amérique latine.","le Brésil dans sa forme longue République fédérative du Brésil est le plus grand État d' Amérique latine . "
"Avec la fin de la guerre espagnole en 1814, les tribunaux européens exigent le retour du prince régent et de sa mère, la reine Marie, car ils jugent inapproprié que les représentants d'une monarchie européenne résident dans une colonie.","avec la fin de la guerre espagnole en dix-huit cent quatorze , les tribunaux européens exigent le retour du prince régent et de sa mère , la reine Marie , car ils jugent inapproprié que les représentants d' une monarchie européenne résident dans une colonie . "
"Sa taille, son relief, son climat et ses ressources naturelles font du Brésil un pays géographiquement diversifié.","sa taille , son relief , son climat et ses ressources naturelles font du Brésil un pays géographiquement diversifié. "
"Sa population est de habitants.","sa population est de habitants . "
"En plus de la forêt amazonienne, le Brésil possède également d'autres importants écosystèmes, comme la forêt atlantique, la savane du Cerrado et la forêt de la Caatinga.","en plus de la forêt amazonienne , le Brésil possède également d' autres importants écosystèmes , comme la forêt atlantique , la savane du Cerrado et la forêt de la Caatinga . "
"Dans de nombreuses régions du pays, l'environnement naturel est menacé par le développement urbain.","dans de nombreuses régions du pays , l' environnement naturel est menacé par le développement urbain . "
", la situation s'est inversée puisque le Brésil a développé le programme spatial le plus avancé de toute l'Amérique latine.",", la situation s' est inversée puisque le Brésil a développé le programme spatial le plus avancé de toute l' Amérique latine . "
"et fait partie du groupe de quatre pays émergents du BRIC.","et fait partie du groupe de quatre pays émergents du bric . "
"Ses émissions de liées à l'énergie : de par habitant en 2011, sont largement inférieures à la moyenne mondiale : /hab et un peu au-dessous de celle de l'Amérique latine : /hab.","ses émissions de liées à l' énergie de par habitant en deux mille onze , sont largement inférieures à la moyenne mondiale hab et un peu au-dessous de celle de l' Amérique latine hab . "
"=== Société ===Le Brésil fait partie des pays émergents.","gale gale gale société gale gale gale Le Brésil fait partie des pays émergents . "
"Ainsi, les populations européennes (autres que portugaises) ont également contribué a influencé le paysage linguistique du Brésil, ce qui se démontre par la présence dans le pays d'un grand nombre de dialectes dérivés des langues européennes, principalement italienne et allemande.","ainsi , les populations européennes autres que portugaises ont également contribué a influencé le paysage linguistique du Brésil , ce qui se démontre par la présence dans le pays d' un grand nombre de dialectes dérivés des langues européennes , principalement italienne et allemande . "
"En plus du jiu-jitsu brésilien, les Brésiliens ont développé la célèbre capoeira et le Vale Tudo.","en plus du jiu-jitsu brésilien , les Brésiliens ont développé la célèbre capoeira et le Vale Tudo . "
"Géographie.","Géographie . "
"Avec plus de hab/km², le Bangladesh est l'un des pays les plus densément peuplés du monde.","avec plus de hab km , le Bangladesh est l' un des pays les plus densément peuplés du monde . "
"Quand l'Inde est divisée en 1947, le Bengale est également divisé pour des raisons religieuses ; la partie occidentale est donnée à l'Inde et la partie orientale devient une province du Pakistan appelée Bengale oriental (plus tard renommée Pakistan oriental), avec sa capitale à Dhaka.","quand l' Inde est divisée en mille neuf cent quarante-sept , le Bengale est également divisé pour des raisons religieuses , la partie occidentale est donnée à l' Inde et la partie orientale devient une province du Pakistan appelée Bengale oriental plus tard renommée Pakistan oriental , avec sa capitale à Dhâkâ . "
"Toutefois, malgré le poids économique et démographique de l'est, le gouvernement et les forces militaires pakistanais furent largement dominés par la haute société de l'ouest.","toutefois , malgré le poids économique et démographique de l' est , le gouvernement et les forces militaires pakistanais furent largement dominés par la haute société de l' ouest . "
"Le Mouvement pour la Langue de 1952 est le premier signe de tension entre les deux parties du Pakistan.","le Mouvement pour la Langue de mille neuf cent cinquante-deux est le premier signe de tension entre les deux parties du Pakistan . "
"L'insatisfaction à l'égard du gouvernement sur les problèmes économiques et culturels augmente dans la décennie qui suit, pendant laquelle la Ligue Awami émerge comme voix politique de la population bengalophone.","l' insatisfaction à l' égard du gouvernement sur les problèmes économiques et culturels augmente dans la décennie qui suit , pendant laquelle la Ligue Awami émerge comme voix politique de la population bengalophone . "
"Après avoir mis en scène des pourparlers avec Mujibur, le président Muhammad Yahya Khan le fait arrêter la nuit du 25 mars 1971 et lance ""Operation Searchlight"", une attaque militaire soutenue sur le Pakistan oriental.","après avoir mis en scène des pourparlers avec Mujibur , le président Muhammad Yahya Khan le fait arrêter la nuit du vingt-cinq mars mille neuf cent soixante et onze et lance "" opération Searchlight "" , une attaque militaire soutenue sur le Pakistan oriental . "
"Les méthodes employées furent très sanglantes ; la violence de la guerre provoqua la mort de nombreux civils.","les méthodes employées furent très sanglantes , la violence de la guerre provoqua la mort de nombreux civils . "
"La guerre de libération du Bangladesh dure neuf mois.","la guerre de libération du Bangladesh dure neuf mois . "
"La guérilla menée par les Mukti Bahini (""Freedom Fighters"") et les troupes bengalies sont finalement aidés par les Forces armées indiennes en décembre 1971 lors de la Troisième guerre indo-pakistanaise.","la guérilla menée par les Mukti Bahini "" Freedom Fighters "" et les troupes bengalies sont finalement aidés par les Forces armées indiennes en décembre dix-neuf cent soixante et onze lors de la Troisième guerre indo -pakistanaise . "
"Aux élections parlementaires de 1973 la Ligue Awami remporte la majorité absolue.","aux élections parlementaires de mille neuf cent soixante-treize la Ligue Awami remporte la majorité absolue . "
"Le 15 août 1975 Mujib et sa famille sont assassinés par des officiers militaires.","le quinze août mille neuf cent soixante-quinze Mujib et sa famille sont assassinés par des officiers militaires . "
"Zia est assassiné en 1981 par des militaires.","Zia est assassiné en mille neuf cent quatre-vingt-un par des militaires . "
"Le chef d'État important suivant est le général Hossain Mohammad Ershad, qui accède au pouvoir par un coup d'État sanglant en 1982 et y reste jusqu'en 1990 quand il est forcé de démissionner sous la pression de donateurs occidentaux à la suite d'un changement majeur en politique internationale après la fin de la Guerre froide et des dictateurs communistes.","le chef d' État important suivant est le général Hossain Mohammad Ershad , qui accède au pouvoir par un coup d' État sanglant en mille neuf cent quatre-vingt-deux et y reste jusqu' en mille neuf cent quatre-vingt-dix quand il est forcé de démissionner sous la pression de donateurs occidentaux à la suite d' un changement majeur en politique internationale après la fin de la Guerre froide et des dictateurs communistes . "
"Depuis lors, le Bangladesh est à nouveau une démocratie parlementaire.","depuis lors , le Bangladesh est à nouveau une démocratie parlementaire . "
"La veuve de Zia, Khaleda Zia, mène le BNP à une victoire parlementaire aux élections générales de 1991 et devient la première femme Premier ministre dans l'histoire du pays.","la veuve de Zia , Khaleda Zia , mène le B.N.P. à une victoire parlementaire aux élections générales de mille neuf cent quatre-vingt-onze et devient la première femme Premier ministre dans l' histoire du pays . "
"Le pays souffre d'une corruption intense, du désordre et de la violence politique.","le pays souffre d' une corruption intense , du désordre et de la violence politique . "
"Depuis la fondation de l'association en 1985 un Bangladais a occupé le poste de secrétaire général deux fois.","depuis la fondation de l' association en mille neuf cent quatre-vingt-cinq un Bangladais a occupé le poste de secrétaire général deux fois . "
"Les sept divisions sont, du nord au sud, Rangpur, Râjshâhî, Dhaka, Sylhet, Khulna, Barisâl et Chittagong, chacune nommée d'après leur capitale.","les sept divisions sont , du nord au sud , Rangpur , Râjshâhî , Dhâkâ , Sylhet , Khulnâ , Barisâl et Chittagong , chacune nommée d' après leur capitale . "
"La région de chaque ""thana"", sauf celles en ville, est divisée en plusieurs ""unions"", dont chacune représente plusieurs villages.","la région de chaque "" thana "" , sauf celles en ville , est divisée en plusieurs "" unions "" , dont chacune représente plusieurs villages . "
"En ville, les ""thana"" sont divisées en ""wards"", elles-mêmes divisées en ""mahallas"".","en ville , les "" thana "" sont divisées en "" wards "" , elles-mêmes divisées en "" mahallas "" . "
"En 1997, un acte parlementaire réserve trois sièges sur douze aux candidats femmes.","en dix-neuf cent quatre-vingt-dix-sept , un acte parlementaire réserve trois sièges sur douze aux candidats femmes . "
"Il s'agit du septième pays le plus peuplé au monde et l'un des plus denses.","il s' agit du septième pays le plus peuplé au monde et l' un des plus denses . "
"Dans les années 1980-1985, la promotion du contrôle des naissances permit de ralentir le taux de croissance.","dans les années dix-neuf cent quatre-vingts  dix-neuf cent quatre-vingt-cinq , la promotion du contrôle des naissances permit de ralentir le taux de croissance . "
"Il existe des traditions régionales, dont les gombhira, et bhawaiya sont les plus connues.","il existe des traditions régionales , dont les gombhira , et bhawaiya sont les plus connues . "
"La danse puise aussi dans les traditions folkloriques, particulièrement tribales, ainsi que la tradition indienne plus large.","la danse puise aussi dans les traditions folkloriques , particulièrement tribales , ainsi que la tradition indienne plus large . "
"Le Bangladesh produit environ 80 films par an.","le Bangladesh produit environ quatre-vingts films par an . "
"Le nombre de lecteurs est toutefois assez bas, environ 15 % de la population.","le nombre de lecteurs est toutefois assez bas , environ quinze pour cents de la population . "
"== Histoire ==L'usage des baguettes est attesté en Chine dès le temps de la dynastie Shang ().","gale gale histoire gale gale L.' usage des baguettes est attesté en Chine dès le temps de la dynastie Shang . "
"Sa capitale est Nassau, située sur l'île de New Providence.","sa capitale est Nassau , située sur l' île de New Providence . "
"Forêt primaire est truffée de grottes calcaires .","forêt primaire est truffée de grottes calcaires . "
"Le pays fait partie de la CEDEAO.","le pays fait partie de la CEDEAO . "
"La capitale officielle est Porto-Novo, Cotonou étant la capitale économique.","la capitale officielle est Porto-Novo , Cotonou étant la capitale économique . "
"Au sud-est, Zozérigbé crée le royaume de Hoogbonu dans la localité d'Ajashe, future Porto-Novo.","au sud-est , Zozérigbé crée le royaume de Hoogbonu dans la localité d' Ajashe , future Porto-Novo . "
"Il nomme le Premier ministre.","il nomme le Premier ministre . "
"Selon les estimations du gouvernement de 2003, le taux d'alphabétisation est de 98,6 %, environ le même pour les deux sexes.","selon les estimations du gouvernement de deux mille trois , le taux d' alphabétisation est de quatre-vingt-dix-huit virgule six pour cents , environ le même pour les deux sexes . "
